window_ts,ticker,winner,n_yes_bets,n_no_bets,total_bets,yes_wagered,no_wagered,total_wagered,yes_pnl,no_pnl,total_pnl,cum_pnl,outcome,first_minute,first_direction
2026-05-18T08:45:00+00:00,KXBTC15M-26MAY180500-00,yes,2,0,2,16.0243,0.0000,16.0243,+4.5078,+0.0000,+4.5078,+4.5078,net_win,8,yes
2026-05-18T09:00:00+00:00,KXBTC15M-26MAY180515-15,no,0,2,2,0.0000,12.1628,12.1628,+0.0000,+2.9389,+2.9389,+7.4467,net_win,4,no
2026-05-18T09:15:00+00:00,KXBTC15M-26MAY180530-30,yes,2,0,2,9.3570,0.0000,9.3570,+2.8247,+0.0000,+2.8247,+10.2714,net_win,6,yes
2026-05-18T09:30:00+00:00,KXBTC15M-26MAY180545-45,no,2,0,2,15.1236,0.0000,15.1236,-15.1236,+0.0000,-15.1236,-4.8523,net_loss,4,yes
2026-05-18T09:45:00+00:00,KXBTC15M-26MAY180600-00,no,0,2,2,0.0000,7.3221,7.3221,+0.0000,+3.8989,+3.8989,-0.9533,net_win,7,no
2026-05-18T12:15:00+00:00,KXBTC15M-26MAY180830-30,no,2,0,2,10.6738,0.0000,10.6738,-10.6738,+0.0000,-10.6738,-11.6271,net_loss,4,yes
2026-05-18T12:30:00+00:00,KXBTC15M-26MAY180845-45,yes,2,0,2,26.5357,0.0000,26.5357,+3.7395,+0.0000,+3.7395,-7.8877,net_win,4,yes
2026-05-18T21:15:00+00:00,KXBTC15M-26MAY181730-30,yes,2,0,2,15.7918,0.0000,15.7918,+2.7794,+0.0000,+2.7794,-5.1083,net_win,6,yes
2026-05-18T21:30:00+00:00,KXBTC15M-26MAY181745-45,no,1,1,2,3.2267,18.8755,22.1021,-3.2267,+14.3625,+11.1359,+6.0276,net_win,6,yes
2026-05-18T21:45:00+00:00,KXBTC15M-26MAY181800-00,yes,1,1,2,5.2975,4.6463,9.9438,+6.5307,-4.6463,+1.8844,+7.9120,net_win,6,no
2026-05-18T22:00:00+00:00,KXBTC15M-26MAY181815-15,yes,2,0,2,11.7317,0.0000,11.7317,+7.2586,+0.0000,+7.2586,+15.1706,net_win,5,yes
2026-05-18T22:15:00+00:00,KXBTC15M-26MAY181830-30,yes,2,0,2,13.7546,0.0000,13.7546,+7.8401,+0.0000,+7.8401,+23.0107,net_win,5,yes
